Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,Category
utopia-group/regel,https://github.com/utopia-group/regel,FALSE,3/27/2020 23:19,[],30,9,7,0,2,Java,11451,2,0,3,0,23,0,0,0,
laem/trottoirs-de-paris,https://github.com/laem/trottoirs-de-paris,FALSE,3/30/2015 22:05,[],12,4,0,0,1,CartoCSS,2897,0,0,2,0,62,0,0,4,
proywm/CCProf,https://github.com/proywm/CCProf,FALSE,11/6/2017 17:14,"['ccprof', 'cache-conflict', 'cache', 'cache-miss', 'cache-optimization', 'profile-guided-optimization', 'pebs', 'conflict-miss']",23,4,1,0,1,C,128980,2,0,2,0,47,0,0,0,
Shuailong/BlamePipeline,https://github.com/Shuailong/BlamePipeline,FALSE,5/13/2018 14:51,"['relation-extraction', 'blame']",5,3,3,0,1,Python,4348,1,0,1,0,48,0,0,0,
xnancy/russ,https://github.com/xnancy/russ,FALSE,10/7/2020 0:27,[],10,4,4,0,4,Python,17878,0,0,1,0,124,0,0,0,
prateekagrawaliiit/100-Days-of-ML,https://github.com/prateekagrawaliiit/100-Days-of-ML,FALSE,8/22/2020 17:36,"['dataset', 'titanic-dataset', 'optuna', 'randomforestclassifier', 'prediction']",11,1,6,0,1,Jupyter Notebook,55631,0,0,2,0,65,0,0,0,
p-lambda/swords,https://github.com/p-lambda/swords,FALSE,5/19/2021 20:18,"['swords', 'benchmark', 'nlp', 'lexical-substitution', 'writing-assistant']",25,15,2,0,2,Python,135558,2,1,1,0,21,0,0,0,
p-lambda/robust_tradeoff,https://github.com/p-lambda/robust_tradeoff,FALSE,8/14/2020 1:13,"['adversarial-examples', 'robustness', 'tradeoff']",5,4,0,0,1,Python,774,0,0,1,0,2,0,0,0,
webosose/chromium53,https://github.com/webosose/chromium53,FALSE,3/13/2018 6:22,"['webos', 'webosose']",8,8,19,0,27,,1750036,0,0,3,20,124,0,0,0,
wa3dbk/ScribeSalad,https://github.com/wa3dbk/ScribeSalad,FALSE,12/1/2018 0:10,"['youtube-video', 'youtube-videos-transcripts', 'joe-rogan-experience', 'jordan-b-peterson', 'artificial-intelligence', 'history', 'social-issues', 'politics', 'yalecourses', 'science', 'video', 'multilingual', 'transcripts']",43,8,24,0,1,,10963400,2,2,2,0,2241,0,0,0,
pointpillars-on-openvino/pointpillars-on-openvino,https://github.com/pointpillars-on-openvino/pointpillars-on-openvino,FALSE,11/12/2021 6:40,[],7,0,3,0,1,C++,56264,0,0,1,0,12,0,0,0,
OpenLiberty/open-liberty,https://github.com/OpenLiberty/open-liberty,FALSE,9/15/2017 19:34,['hacktoberfest'],1018,36,519,53,244,Java,851815,2285,499,271,339,31639,25,0,0,
benjmarshall/hlsclt,https://github.com/benjmarshall/hlsclt,FALSE,6/12/2017 11:15,"['high-level-synthesis', 'python', 'vivado-hls', 'fpga']",35,4,11,8,2,Python,64,8,4,4,8,85,0,0,0,
compomics/searchgui,https://github.com/compomics/searchgui,FALSE,8/21/2015 21:31,"['proteomics', 'protein-identification', 'bioinformatics', 'java']",25,18,17,0,7,Java,667039,10,0,5,0,932,1,0,0,
runebookdev/runebook,https://github.com/runebookdev/runebook,FALSE,2/10/2020 7:35,"['runebook', 'translations', 'i18n', 'documentation']",106,3,19,0,1,,3628118,529,0,1,0,3813,0,0,0,
dodger487/scrape_hn,https://github.com/dodger487/scrape_hn,FALSE,5/13/2017 20:17,[],51,6,9,0,2,Shell,151560,0,0,1,0,73,2,0,0,
lyeoni/KorQuAD,https://github.com/lyeoni/KorQuAD,FALSE,6/5/2019 7:42,"['korquad', 'bert', 'pytorch', 'question-answering', 'machine-reading-comprehension']",31,1,9,0,1,Python,1414,0,0,1,0,30,0,0,0,
40ants/hacrm,https://github.com/40ants/hacrm,FALSE,8/16/2017 19:58,"['lisp', 'common-lisp', 'crm', 'plugins']",4,3,0,0,1,Common Lisp,5379,1,0,1,0,100,0,0,0,
stanford-cs324/winter2022,https://github.com/stanford-cs324/winter2022,FALSE,12/23/2021 18:01,[],6,2,2,0,4,Python,19938,0,0,4,0,162,0,0,132,
cliqz-oss/keyvi,https://github.com/cliqz-oss/keyvi,FALSE,7/14/2015 21:25,"['python', 'cpp', 'search', 'data-structures', 'fst', 'big-data']",176,20,37,43,8,C++,27577,10,1,3,44,826,0,0,73,
mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,FALSE,2/11/2020 8:43,[],3176,149,594,0,92,C++,666319,123,17,19,28,55621,0,0,0,
stanfordnlp/wge,https://github.com/stanfordnlp/wge,FALSE,2/20/2018 23:32,[],82,13,33,0,2,Python,4271,3,0,3,0,11,0,0,10,
moparisthebest/forum.moparisthebest.com,https://github.com/moparisthebest/forum.moparisthebest.com,FALSE,9/11/2019 22:54,[],6,3,9,0,1,,1138596,0,0,1,0,2,0,0,0,
hpcc-systems/helm-chart,https://github.com/hpcc-systems/helm-chart,FALSE,3/20/2020 12:09,[],7,10,22,0,4,Smarty,60159,1,1,5,98,692,0,0,692,
panosmdma/SlackOnly-SlackBuilds,https://github.com/panosmdma/SlackOnly-SlackBuilds,FALSE,1/7/2016 17:11,[],8,4,1,0,211,Shell,98504,0,0,2,0,57866,0,0,0,
fletcherjiang/ssm-alipay,https://github.com/fletcherjiang/ssm-alipay,FALSE,4/19/2020 10:49,13,4,110,0,1,C++,25572,0,0,2,0,689,0,0,0,,
taolusi/chisp,https://github.com/taolusi/chisp,FALSE,8/14/2019 6:56,[],103,8,11,0,1,Python,43,3,0,1,0,5,0,0,0,
eugeneia/athens,https://github.com/eugeneia/athens,FALSE,8/15/2018 11:59,[],6,1,0,0,1,Common Lisp,4821,0,0,2,1,69,0,0,0,
jeffpar/kbarchive,https://github.com/jeffpar/kbarchive,FALSE,10/18/2017 19:26,[],244,22,54,0,2,,436147,4,3,4,0,41,0,0,24,
RapidsAtHKUST/CommunityDetectionCodes,https://github.com/RapidsAtHKUST/CommunityDetectionCodes,FALSE,12/26/2016 3:07,"['survey', 'community-detection-algorithm', 'graph-input-benchmark', 'quality-evaluation-metrics', 'codes-refactoring', 'dataset-summary']",180,17,93,0,1,C++,53347,5,2,1,0,240,0,0,0,
sayakpaul/TF-2.0-Hacks,https://github.com/sayakpaul/TF-2.0-Hacks,FALSE,5/9/2019 15:41,"['tensorflow-2', 'neural-networks', 'deep-learning']",383,26,84,0,1,Jupyter Notebook,32475,0,0,3,0,162,0,0,0,
cea-hpc/modules,https://github.com/cea-hpc/modules,FALSE,3/14/2017 5:10,"['environment', 'module', 'modulefiles', 'tcl', 'shell', 'hpc', 'environment-modules', 'hacktoberfest']",497,34,83,31,27,Tcl,18722,27,1,7,41,4853,5,0,61,
kangeunsu/ArtML,https://github.com/kangeunsu/ArtML,FALSE,1/22/2019 3:50,[],5,0,4,0,2,Jupyter Notebook,606739,0,0,1,0,88,0,0,0,
Ascend/samples,https://github.com/Ascend/samples,FALSE,11/16/2020 11:38,[],50,5,23,0,27,Python,209908,1,0,1,2,3536,0,0,0,
mini-peanut/search-table,https://github.com/mini-peanut/search-table,FALSE,6/14/2019 8:55,15,0,7,0,2,TypeScript,555,0,0,1,8,18,0,0,0,,
NCAR/geocat-comp,https://github.com/NCAR/geocat-comp,FALSE,7/15/2019 17:44,"['ncl', 'python', 'geocat', 'geocat-comp']",88,12,41,17,15,Python,24368,44,7,12,17,1196,1,0,0,
luohancfd/CFCFD-NG,https://github.com/luohancfd/CFCFD-NG,FALSE,3/12/2018 20:14,[],9,3,4,0,9,Python,406419,0,0,2,0,2578,0,0,0,
boslbi92/CoQA,https://github.com/boslbi92/CoQA,FALSE,2/28/2019 21:06,[],6,3,2,0,1,Python,23306,1,1,1,0,174,0,0,0,
ncbi/ncbi-cxx-toolkit-public,https://github.com/ncbi/ncbi-cxx-toolkit-public,FALSE,7/26/2021 19:41,[],17,12,6,2,0,C++,140606,2,0,2,2,4266,0,0,0,
fedir/ghstat,https://github.com/fedir/ghstat,FALSE,3/10/2018 13:36,"['github-api', 'golang', 'statistics']",13,3,1,5,1,Go,61314,9,0,1,5,340,0,0,0,
SlackBuildsOrg/slackbuilds,https://github.com/SlackBuildsOrg/slackbuilds,FALSE,1/18/2016 21:37,[],56,12,70,0,230,Shell,151902,8,8,4,650,89476,5,0,0,
yewsiang/ConceptBottleneck,https://github.com/yewsiang/ConceptBottleneck,FALSE,3/10/2020 23:39,"['concept-bottleneck-models', 'osteoarthritis-initiative', 'cub-dataset', 'concepts', 'interpretability', 'interpretable-machine-learning', 'computer-vision']",88,5,17,0,3,Python,1577,8,6,7,0,31,0,0,0,
p-lambda/jukemir,https://github.com/p-lambda/jukemir,FALSE,6/9/2021 23:37,[],100,12,16,0,1,Shell,4304,1,1,1,0,63,0,0,0,
