Repo,Error
mathworks/xilinx-linux,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
DanielProjectJourney/AI_NanoDegree_Udacity,Unrelevant
GZR-Kernels/Optimus_Drunk_Citrus,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
crownpku/aiml_chatbot,Unrelevant
TheVoyager0777/Kernel_Xiaomi_sm8250_S,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
mogroupumd/aimd,Unrelevant
Taeung/linux,Unrelevant
yyu168/linux_cet,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
GZR-Kernels/Optimus_Drunk_Alioth,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
paulovn/aiml-chatbot-kernel,Unrelevant
trsqr/media_tree,Unrelevant
jonggyup/F2FS_NVRAM_GC-ICCE_SW,Unrelevant
projectacrn/acrn-kernel,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
SolidRun/linux-stable,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
dragondjf/QMarkdowner,Unrelevant
XayahSuSuSu/android_kernel_xiaomi_cas,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
Official-Ayrton990/android_kernel_xiaomi_sm8250,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
Nobida/ZD-Search,Unrelevant
AlexR1712/Sarabot,Unrelevant
STMicroelectronics/STMems_Linux_Input_drivers,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
ackul/CrimeCheck,Unrelevant
caf-ginkgo/kernel_msm-4.14,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
grate-driver/linux,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
kvm-riscv/linux,"403 {""message"": ""The history or contributor list is too large to list contributors for this repository via the API."", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#list-repository-contributors""}"
methusalah/alchemist,Unrelevant
