Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
polakowo/datadocs,https://github.com/polakowo/datadocs,False,2019-06-19 00:27:00,2019-06-19 00:27:00,2021-06-04 07:17:59,"['data-science', 'machine-learning', 'deep-learning', 'documentation', 'best-practices', 'collaboration', 'wiki', 'ebook', 'big-data', 'data-engineering', 'knowledge', 'cloud', 'moocs']",83,1,7,0,2,JavaScript,88282,29,29,20,128,0,77
shankarpm/faiss_knn,https://github.com/shankarpm/faiss_knn,False,2019-02-05 20:26:27,2019-02-05 20:26:27,2019-03-06 21:33:40,[],8,0,3,0,1,Jupyter Notebook,35,1,0,1,22,0,0
rthamman/reinvent-2019,https://github.com/rthamman/reinvent-2019,False,2019-11-22 19:23:57,2019-11-22 19:24:46,2019-12-03 05:06:09,[],14,1,8,0,2,Jupyter Notebook,59,0,0,1,8,0,0
aws/sagemaker-tensorflow-training-toolkit,https://github.com/aws/sagemaker-tensorflow-training-toolkit,False,2018-01-23 17:41:21,2018-01-23 17:41:21,2022-07-08 09:12:28,"['aws', 'sagemaker', 'tensorflow', 'docker']",249,45,156,73,34,Python,14781,425,368,6,251,5,0
aws-samples/sagemaker-run-notebook,https://github.com/aws-samples/sagemaker-run-notebook,False,2020-06-11 22:06:22,2020-06-11 22:06:23,2022-11-10 20:30:43,"['jupyter', 'jupyterlab', 'jupyterlab-extension', 'aws', 'sagemaker', 'cloudformation']",116,5,60,10,5,Python,1551,68,31,2,105,0,0
Nixtla/nixtla,https://github.com/Nixtla/nixtla,False,2021-09-23 15:48:41,2021-09-23 15:48:41,2022-11-16 22:07:10,"['time-series', 'time-series-forecasting', 'machine-learning', 'software-as-a-service', 'aws']",360,7,25,0,6,Python,71090,45,27,10,281,0,0
aws-samples/scheduling-sagemaker-processing-with-sagemaker-pipelines,https://github.com/aws-samples/scheduling-sagemaker-processing-with-sagemaker-pipelines,False,2021-07-08 07:01:17,2021-07-08 07:01:18,2021-07-08 07:11:02,[],9,11,3,0,1,Jupyter Notebook,287,0,0,1,2,0,0
garretthoffman/deploying_data_science_apps,https://github.com/garretthoffman/deploying_data_science_apps,False,2019-06-28 14:21:06,2019-06-29 00:32:38,2019-06-29 00:32:38,"['data-science', 'deployment', 'airflow', 'kubernetes', 'slides', 'tutorial']",9,2,6,0,1,Jupyter Notebook,108345,64,64,28,1,0,0
bigdatapassionpl/aws-big-data-ai-training,https://github.com/bigdatapassionpl/aws-big-data-ai-training,False,2019-03-13 14:14:40,2019-03-13 14:09:22,2021-05-09 09:55:06,[],10,2,5,0,1,Jupyter Notebook,85,7,7,5,61,0,0
prameshbajra/prameshbajra.github.io,https://github.com/prameshbajra/prameshbajra.github.io,False,2018-02-18 14:47:05,2016-05-29 08:02:17,2022-08-31 14:58:36,[],5,1,0,0,14,CSS,14071,17,17,2,632,0,78
shreyagopal/Cloud-based-PE-Malware-Detection-API,https://github.com/shreyagopal/Cloud-based-PE-Malware-Detection-API,False,2020-04-29 02:29:10,2020-04-29 02:29:11,2020-04-30 14:20:51,[],6,1,3,0,1,Jupyter Notebook,18363,1,0,1,25,0,0
aws-samples/ml-lineage-helper,https://github.com/aws-samples/ml-lineage-helper,False,2021-09-27 19:20:09,2021-09-27 19:20:10,2021-10-14 22:43:30,"['machine-learning', 'ml-lineage', 'feature-lineage', 'ml-lineage-tracking', 'sagemaker']",12,17,1,0,1,Python,133,0,0,1,10,0,0
